UE_ID;UE_NOM;CHAPITRE_ID;CHAPITRE;SERIE_ID;SERIE_TITRE;NB_QUESTIONS
69;Anatomie;2309;Le Rachis;4158;Le Rachis #2;5
69;Anatomie;2309;Le Rachis;4159;Le Rachis #3;5
69;Anatomie;2310;Paroi du tronc et de la cage thoracique;4160;Paroi du tronc et de la cage thoracique #4;5
69;Anatomie;2310;Paroi du tronc et de la cage thoracique;4161;Paroi du tronc et de la cage thoracique #5;5
69;Anatomie;2311;Appareil cardio-circulatoire;4162;Appareil cardio-circulatoire #6;6
69;Anatomie;2311;Appareil cardio-circulatoire;4163;Appareil cardio-circulatoire #7;6
69;Anatomie;2312;Appareil respiratoire;4164;Appareil respiratoire #8;6
69;Anatomie;2312;Appareil respiratoire;4165;Appareil respiratoire #9;5
69;Anatomie;2313;Appareil digestif;4166;Appareil digestif #10;5
69;Anatomie;2313;Appareil digestif;4167;Appareil digestif #11;5
69;Anatomie;2314;Appareil urinaire;4168;Appareil urinaire #12;5
80;Anatomie;2412;Appareil cardiovasculaire;4360;#1 Appareil cardiovasculaire ;5
80;Anatomie;2412;Appareil cardiovasculaire;4366;#2 Appareil cardiovasculaire ;5
80;Anatomie;2418;Le Rachis et les parois du tronc;4368;#3. Rachis;5
80;Anatomie;2418;Le Rachis et les parois du tronc;4369;#4 parois du tronc;5
156;Anatomie;905;Généralités;135;#1 - Généralités;4
156;Anatomie;905;Généralités;138;#2 - Généralités;3
156;Anatomie;504;Pénis, Testicules & voies spermatiques;186;#3 - Pénis, testicules, prostate et voies spermatiques;5
156;Anatomie;504;Pénis, Testicules & voies spermatiques;189;#4 - Pénis, testicules, prostate et voies spermatiques;4
156;Anatomie;504;Pénis, Testicules & voies spermatiques;192;#5 - Pénis, testicules, prostate et voies spermatiques;5
156;Anatomie;505;Urètre masculin et féminin;193;#6 - Urètre masculin et féminin;5
156;Anatomie;505;Urètre masculin et féminin;195;#7 - Urètre masculin et féminin;3
156;Anatomie;506;Appareil génital féminin;196;#8 - Appareil génital féminin;5
156;Anatomie;506;Appareil génital féminin;197;#9 - Appareil génital féminin;4
156;Anatomie;506;Appareil génital féminin;199;#10 - Appareil génital féminin;3
156;Anatomie;905;Généralités;5191;Généralités en Anatomie #14;4
156;Anatomie;504;Pénis, Testicules & voies spermatiques;5192;Pénis, Testicules et Voies spermatiques #15;5
156;Anatomie;505;Urètre masculin et féminin;5193;Urètres masculine et féminine #16;5
156;Anatomie;506;Appareil génital féminin;5194;Appareil génital féminin #17;5
